Video ID,Video Title,Author,Comment,Timestamp,Timestamp Link,Date Added
2koz1UDfzAU,You Don't Need Love | Tomas D #1 | 05.09.24,@ericglover4195,amazing 🙏🏼 49:30,49:30,https://youtu.be/2koz1UDfzAU?t=2970,2026-05-26
2koz1UDfzAU,You Don't Need Love | Tomas D #1 | 05.09.24,@zhatar4214,26:26 Watching frogs 🐸🤣,26:26,https://youtu.be/2koz1UDfzAU?t=1586,2026-05-26
2koz1UDfzAU,You Don't Need Love | Tomas D #1 | 05.09.24,@NothingTheGreat,26:27  solidarity with my brothers and sisters out there who struggle with watching frogs  😔✊,26:27,https://youtu.be/2koz1UDfzAU?t=1587,2026-05-26
4Z5U20qoRPI,We Don't Need To Be Right | The Sangha UK #212 | Dhammadasa | 04.25.24,@MountainDharma,"30:33 in response to the question about “just do nothing.” This is one of the biggest points people misunderstand. It’s not that we have to “do nothing.” That would be a rule that creates aversion to all doings. Rather, we realize there is nothing we need to do in order to be satisfied. We change the order. Instead of needing to get or do things to be satisfied. We start with satisfaction, then do whatever it is that we need to do while being satisfied. I’m currently working three jobs due to some temporary financial challenges. I have two kids. There is never a moment to actually do nothing. But I maintain an attitude of satisfaction, letting go of any wanting that may arise, as I calmly and happily go about my doings. The reason it’s so difficult for people to understand that satisfaction can come first, and that we don’t need dissatisfaction to motivate what we do, is simply because we have been doing the craving to get way our entire lives, in every culture, across all time. So as simple as this change in order sounds, every cell resists acceptance of it. Instead, we think we have to “do nothing” to be happy. How useless is that? Then we want to know how we motivate ourselves without that dissatisfaction, that wanting to get it do? That’s simple too: mindfulness and wisdom. We pay attention to our lives, and know with wisdom what needs to be done; and we do it. No dissatisfaction needed. Of course having too much to do and too much to maintain is more of that base dukkha, so we can use the mindfulness and wisdom to begin reducing the load where it is possible. But there’s another trap, don’t wait until the load is light to be satisfied. Be satisfied while patiently reducing the external load. The internal load can be lightened immediately. As Buddhadasa said, “Dhamma is duty. Duty is Dhamma.” Do work of all kinds with an attitude of satisfaction (everything is ok) and an attitude of friendship (everyone is a friend). In this way, the path is beautiful in the beginning, the middle, and the end.",30:33,https://youtu.be/4Z5U20qoRPI?t=1833,2026-05-26
JjNg9iJ-FAI,Stop Being on a Path | The Sangha UK #211 | 04.21.24,@MountainDharma,"30:58 what I would point out here and add to Michael’s response is that the purpose of Buddha Dhamma is not anatta (nonself) the purpose of the Dhamma is dukkha Nirodha, and the perception of anatta is only for that end. We have over time become hung up on anatta as an end goal when it’s just one perception that helps us renounce craving and clinging, so that we can realize the cessation of dukkha.",30:58,https://youtu.be/JjNg9iJ-FAI?t=1858,2026-05-26
0bg6bIvN8bg,Get Away From The World | Alberto #2 | 04.21.24,@issac7787,"18:00 "" what if nobody went into seclusion, it will become a madhouse """,18:00,https://youtu.be/0bg6bIvN8bg?t=1080,2026-05-26
NrPUgi740tw,Look at How You Feel | Ivan #10 | 04.22.24,@issac7787,"Thank you Dhammarato for your endless patience, getting a better perspective of things, to see the dislike and get beyond the liking/disliking. Right viewing, remember to look at how you feel. Looking at it from a distance, gazing at it 11:00 bringing wisdom to it. We have a choice in how we feel, rather than grasping and clinging. 

-Ivan",11:00,https://youtu.be/NrPUgi740tw?t=660,2026-05-26
xXUyrlFDUJA,We Have To Find Out For Ourselves | Dhamma Dasa & DJ | The Sangha UK #210 | 04.17.24,@issac7787,DJ take on 1:02:00 on guarding the senses while grounded in the here and the now,1:02:00,https://youtu.be/xXUyrlFDUJA?t=3720,2026-05-26
7qAHShSSkyE,Noise and Sensations | Ivan #9 with Toumas | 04.09.24,@issac7787,49:00,49:00,https://youtu.be/7qAHShSSkyE?t=2940,2026-05-26
A5GFsbohsXo,Drop Both Sides of the Fight | Paulius #1 | 04.07.24,@basketballTaco,"27:56 --> Getting tea is easy enough to do, but what are you gonna do if you get up and go to the kitchen and there's no tea? I'm gonna use that as a reminder to not turn easy things into hard things, mindlessly. No tea, no problem.",27:56,https://youtu.be/A5GFsbohsXo?t=1676,2026-05-26
74HpXZUtEPo,Progress and Problems | The Sangha UK #207 | 04.07.24,@issac7787,10:00,10:00,https://youtu.be/74HpXZUtEPo?t=600,2026-05-26
74HpXZUtEPo,Progress and Problems | The Sangha UK #207 | 04.07.24,@MountainDharma,30:00 to 33:00 is full of gold 😊,30:00,https://youtu.be/74HpXZUtEPo?t=1800,2026-05-26
74HpXZUtEPo,Progress and Problems | The Sangha UK #207 | 04.07.24,@MountainDharma,30:00 to 33:00 is full of gold 😊,33:00,https://youtu.be/74HpXZUtEPo?t=1980,2026-05-26
rjvmcsorTzk,Enjoy the Moment Without Grasping | Dhamma Dasa & DJ | The Sangha UK #206 | 04.03.24,@nowmichaelclark,"Dhamma Dasa, who's the Indian saint that you're referring to at 30:37?",30:37,https://youtu.be/rjvmcsorTzk?t=1837,2026-05-26
